id,category,lang,query,passed,top_source,top_id,top_score,scaffolding_leak,latency_s,answer,error
offer_direct_answer_kfc,offer_direct_answer,en,How much is the KFC offer?,True,offer,8119,1.2627,[],0.517,"Check this out:
**Zinger & Strips meal with 39% off @KFC branches** — grab it for 189 EGP, down from 310 EGP — 39% discount — available till 2028-07-01",
offer_direct_answer_mcdonalds,offer_direct_answer,en,What's the discount on McDonald's right now?,True,offer,6737,1.0788,[],0.511,"Found this one for you:
**Mouthwatering burgers fries & ice cream with up to 57% off @McDonald's branches** — 79 EGP — was 120 EGP — 57% off — valid until 2028-07-01",
offer_direct_answer_asianwok,offer_direct_answer,en,Tell me about the Asian Wok offer.,True,offer,9209,1.1968,[],0.479,"Found this one for you:
**Delicious Asian meals with 36% off @Asian Wok** — 175 EGP — was 275 EGP — 36% discount — available till 2028-07-01",
offer_direct_answer_zero_discount,offer_direct_answer_exact_zero_discount,en,What's the discount on the Hilton Cairo Zamalek Residences night stay offer?,False,offer,9121,1.356,[],15.753,"The Night stay feels different with a Nile view that lingers @Hilton Cairo Zamalek Residences offer is priced at 7240 EGP and valid until 2028-07-01. There is no discount mentioned for this specific offer.

📋 Details: **Day use escape with breathtaking Nile views & pool access @Hilton Cairo Zamalek Residences** — 1680 EGP — valid until 2028-07-01",
faq_direct_answer_register,faq_direct_answer,en,How do I register / create an account?,True,faq,faq_1,1.4505,[],0.476,"To create a new account: 1) Tap 'Create New Account'. 2) Add your phone number. 3) You'll receive a verification code via SMS. 4) Enter the code in the app to complete registration. Then complete your data through 'My Account', click the settings icon, and select 'Edit profile'. You now have an account and can enjoy all available offers.",
faq_direct_answer_purchase,faq_direct_answer,en,How do I purchase from the Waffarha app?,True,faq,faq_2,1.4732,[],0.473,"1) Choose the offer that suits you. 2) Select the number of coupons and click 'Add to Cart'. 3) Click 'Go to Cart' to review your order details. 4) Click 'Proceed to Checkout' and choose your preferred payment method. 5) After completing payment, find your coupon number under 'My Orders' > 'Order Details' > 'Show Offer Code'. You can use the coupon at the location or request delivery if available for that offer and your area is within the delivery zone; an additional delivery fee set by the merchant may apply.",
faq_direct_answer_payment_methods,faq_direct_answer,en,What payment methods are available on the app?,True,faq,faq_3,1.4198,[],0.477,"Waffarha supports: Bank cards (Visa/MasterCard), Bank Installments (major banks), Apple Pay, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), payment via reference number (Fawry, Daman, Basata, Geidea, O-pay), ValU, Suhoola, Forsa, Aman, Contact, Premium Card, Mogo, TRU, and Klivvr.",
faq_direct_answer_use_coupon,faq_direct_answer,en,How do I use my purchased coupon?,True,faq,faq_4,1.2966,[],0.53,"After payment, find the coupon under 'My Orders' > 'Order Details' > 'Show Offer Code'. For dine-in/takeaway: check the list of available branches and provide the coupon number to the merchant. For delivery (check offer terms first to confirm it's available): call the merchant's hotline, provide the coupon numbers, and confirm order details and address. If your location is within the delivery area, pay the delivery fee in cash upon receipt. It's best to contact the merchant before purchasing to confirm delivery availability for your area.",
faq_direct_answer_bill_payment,faq_direct_answer,en,Can I pay my electricity bill through the app?,True,faq,faq_5,1.3105,[],0.578,"Go to the 'Bill Payment' section in the app. You'll see services like balance recharge, mobile & landline bills, utility bills, and monthly installments. Select the service, enter the number you want to top-up or pay for, click 'Proceed to Payment', then choose the payment method that suits you.",
faq_direct_answer_bill_payment_methods,faq_direct_answer,en,What payment methods can I use to pay bills?,True,faq,faq_6,1.3014,[],0.514,"Bank cards (Visa/MasterCard), Bank Installments, E-wallets (Vodafone Cash, Etisalat Cash, Orange Cash, and others), TRU, Suhoola, Forsa, Premium Card, and Contact Installments. Note: available payment methods for bills may change, so check the checkout page for the current options.",
